variable,missing_n,missing_pct
egfr_proxy,7076,99.86
bmi_or_proxy,4422,62.4
stemi_flag,1420,20.04
ckm_stage_component_flags,308,4.35
glucose,56,0.79
baseline_creatinine,23,0.32
sbp,9,0.13
icu_los,2,0.03
af_flag,0,0.0
age,0,0.0
ckm_stage_adapted,0,0.0
ckm_stage_evidence_level,0,0.0
ckm_stage_strict_aha,0,0.0
dataset_name,0,0.0
diabetes_flag,0,0.0
hf_flag,0,0.0
hospital_los,0,0.0
hospital_stay_id,0,0.0
hyperlipidemia_flag,0,0.0
hypertension_flag,0,0.0
icu_mortality,0,0.0
in_hospital_mortality,0,0.0
index_time,0,0.0
mv_flag,0,0.0
renal_history_flag,0,0.0
sex,0,0.0
stroke_pad_flag,0,0.0
study_id,0,0.0
subject_id_or_patientunitstayid,0,0.0
vasopressor_flag,0,0.0
